Woj1931,Name1931,Distance to Treblinka,GG,Type,Powiat1931,Eligible1928,Valid1928,BlokRzad,PPS,PSL,BlockMniejsz,Endecja
Lublin,Skorzec,58.39,1,w,Siedlce,3007,2508,636,255,70,0,769
Warszawa,Zatory,59.14,0,w,Pultusk,2872,2572,106,397,1567,1,330
Warszawa,Minsk Mazowiecki,59.87,1,m,Minsk Mazowiecki,6232,4898,1470,448,12,441,948
Warszawa,Minsk,59.87,1,w,Minsk Mazowiecki,3465,2796,810,245,604,87,493
Lublin,Czuryly,60.31,1,w,Siedlce,1423,1306,38,88,60,0,455
Warszawa,Kuflew,60.75,1,w,Minsk Mazowiecki,3902,3342,543,454,1000,77,323
Warszawa,Radzymin,63.4,1,m,Radzymin,3033,2141,510,322,8,395,500
Warszawa,Radzymin,63.4,1,w,Radzymin,4770,3792,1151,563,556,115,1213
Warszawa,Debe Wielkie,63.56,1,w,Minsk Mazowiecki,2608,2093,487,209,628,2,188
Warszawa,Gzowo,63.69,0,w,Pultusk,3300,2848,69,642,1745,0,300
Warszawa,Wolomin,63.9,1,m,Radzymin,5136,3410,1284,636,2,284,544
Warszawa,Jeruzal,64.29,1,w,Minsk Mazowiecki,1649,1492,133,32,1049,6,72
Lublin,Wiszniow (Wi_niew),64.61,1,w,Siedlce,1850,1637,274,290,149,0,130
Lublin,Jaslonka,64.89,1,w,Siedlce,692,628,28,19,26,3,405
Lublin,Domanice,65.31,1,w,Siedlce,2324,1974,492,28,18,0,365
Warszawa,Pultusk,65.41,0,m,Pultusk,7559,6015,1377,1836,57,612,1199
Lublin,Zbuczyn,65.84,1,w,Siedlce,1735,1553,427,55,2,0,410
Lublin,Piory,66.62,1,w,Siedlce,1248,1147,52,0,17,0,780
Warszawa,Kleszewo  (Kluzewo),67,0,w,Pultusk,2393,1984,114,383,1162,66,221
Lublin,Wodynie,67.34,1,w,Siedlce,3207,2629,610,432,351,11,293
Warszawa,Siennica,67.7,1,w,Minsk Mazowiecki,3319,2812,844,443,842,83,128
Warszawa,Serock,67.74,0,m,Pultusk,4206,3465,324,1175,99,611,634
Warszawa,Glinianka,69.13,1,w,Minsk Mazowiecki,2965,2417,316,232,513,4,187
Warszawa,Rudzienko,69.18,1,w,Minsk Mazowiecki,3500,2913,369,92,1632,44,340
Warszawa,Latowicz,69.63,1,os m.,Minsk Mazowiecki,1212,1092,146,52,464,43,108
Warszawa,Wielgolas,69.94,1,w,Minsk Mazowiecki,1976,1584,237,180,722,0,334
