woj46,powiat46,name46,Areakm2,distRailway48,GG,Note,type46,ogolem,mezczyzni,Over59,shareMen,name49,powiat49,woj49,ID2,DistTreblinka
warszawskie,Minsk,Jeruzal,65.4,12,1,,w,3714,1817,278,0.489229941,Jeruzal,Minski,Warszawskie,W121,61.22619267
bialostockie,Lomza,Kupiski,130.9,1,0,Lomza,w,5759,2748,400,0.477166175,Kupiski,Lomzynski,Bialostockie,B106,61.46922217
bialostockie,Lomza,Miastkowo,119.4,17,0,,w,5155,2459,362,0.477012609,Miastkowo,Lomzynski,Bialostockie,B95,61.70690508
bialostockie,Lomza,Rutki,147.1,8,0,,w,6575,3157,543,0.480152091,Rutki,Lomzynski,Bialostockie,B111,61.74296223
warszawskie,Radzymin,Kobylka,24.7,0,1,,w,5261,2321,370,0.44117088,Kobylka,Radzyminski,Warszawskie,W224,61.75343025
lubelskie,Siedlce,Czuryly,74,0,1,,w,3916,1928,380,0.492339122,Czuryly,Siedlecki,Warszawskie,W240,61.99634925
bialostockie,Bielsk,Siemiatycze,25.7,9,0,,m,4106,1873,367,0.456161715,Siemiatycze m.,Bielski,Bialostockie,B53,62.2282076
bialostockie,Bielsk,Siemiatycze,242.7,9,0,,w,11023,5321,1202,0.482717953,Siemiatycze,Bielski,Bialostockie,B52,62.24045892
warszawskie,Makow,Smrock,123.1,28,0,,w,4682,2168,380,0.463049979,Smrock,Makowski,Warszawskie,W110,62.52637971
bialostockie,Wysokie Mazowieckie,Sokoly,120.2,1,0,,w,6197,2967,630,0.478780055,Sokoly,Wysokomazowiecki,Bialostockie,B156,62.87876851
bialostockie,Lomza,Lomza m.,20.9,0,0,,m,13772,5869,1215,0.426154516,Lomza m.,Lomzynski,Bialostockie,B110,63.30338612
warszawskie,Pultusk,Pultusk,15.8,29,0,,m,8787,3818,736,0.43450552,Pultusk m.,Pultuski,Warszawskie,W211,63.38788858
warszawskie,Minsk,Glinianka,98.6,11,1,,w,6723,3148,470,0.468243344,Glinianka,Minski,Warszawskie,W126,63.48044117
lubelskie,Siedlce,Wodynie,107.9,18,1,,w,6441,3023,490,0.469337059,Wodynie,Siedlecki,Warszawskie,W257,63.51331288
warszawskie,Minsk,Siennica,91.3,11,1,,w,6671,3155,528,0.472942587,Siennica,Minski,Warszawskie,W125,63.64254277
warszawskie,Pultusk,Kleszewo,92,29,0,,w,3267,1590,265,0.486685032,Kleszewo,Pultuski,Warszawskie,W222,64.46677475
warszawskie,Warszawa,Sulejowek,,0,1,,w,7396,3074,803,0.41563007,Sulejowek,Warszawski,Warszawskie,W300,64.5803844
warszawskie,Pultusk,Gzowo,112.9,24,0,,w,4461,2196,367,0.492266308,Gzowo,Pultuski,Warszawskie,W219,64.86056047
bialostockie,Wysokie Mazowieckie,Poswietne,136.1,10,0,,w,6363,3052,649,0.479647965,Poswietne,Wysokomazowiecki,Bialostockie,B153,65.35481547
warszawskie,Pultusk,Zegrze,144.5,8,0,,w,5388,2590,386,0.480697847,Zegrze,Pultuski,Warszawskie,W341,65.40345747
warszawskie,Pultusk,Serock,11.6,8,0,,m,2123,951,184,0.447951013,Serock m.,Pultuski,Warszawskie,W208,65.67223379
warszawskie,Warszawa,Marki,45.7,1,1,,w,15580,6663,1327,0.427663671,Marki,Warszawski,Warszawskie,W326,65.69850123
lubelskie,Siedlce,Domanice,80.2,0,1,,w,5212,2565,377,0.492133538,Domanice,Siedlecki,Warszawskie,W256,65.72776327
warszawskie,Makow,Sypniewo,173.5,10,0,,w,6469,3129,488,0.483691452,Sypniewo,Makowski,Warszawskie,W106,66.32434425
bialostockie,Lomza,Drozdowo,155.9,3,0,Piatnica,w,8322,3971,580,0.47716895,Drozdowo,Lomzynski,Bialostockie,B108,66.52447441
warszawskie,Minsk,Latowicz,21.3,27,1,,w,2182,995,229,0.456003666,Latowicz,Minski,Warszawskie,W122,66.57395132
warszawskie,Warszawa,Rembertow,,1,1,,m,13842,5610,1091,0.405288253,Rembertow,Warszawski,Warszawskie,W327,66.64596836
